/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,15,11,35,64,B
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,45,15,62,60,3
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,62,11,82,64,o
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,81,7,105,67,1
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,115,5,135,70,q
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,129,15,146,60,2
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/0_B3o1q2Z.png,141,11,161,64,Z
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,2,7,24,67,w
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,21,1,43,73,Q
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,37,15,53,60,9
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,50,7,71,67,k
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,86,1,107,73,Q
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,125,11,143,64,V
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/1_wQ9kQV0.png,158,11,177,64,0
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/2_dtBywy.png,18,7,39,68,d
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/2_dtBywy.png,38,11,56,64,t
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/2_dtBywy.png,68,7,89,67,B
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/2_dtBywy.png,96,5,115,70,y
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/2_dtBywy.png,121,7,142,67,w
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/2_dtBywy.png,152,10,167,65,y
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/3_vXJKM.png,28,7,60,67,v
/home/jovyan/captcha-breaker/captcha-breaker/data/captcha/train/3_vXJKM.png,71,11,100,64,X
